Date,Time,Location,Latitude,Longitude,Vehicle_Type,Weather,Road_Type,Severity,Day_of_Week,Month,Hour,Is_Fatal
2024-12-19,23:46,Trichy Road,11.046747965207368,76.86955259815007,Car/SUV,Rain,State Highway,Minor,Thursday,December,23,0
2024-04-12,19:28,Karanampettai,11.003957694760098,77.04681935312686,Two-Wheeler,Clear,National Highway,Minor,Friday,April,19,0
2024-12-31,22:21,Karamadai,11.042011830225869,77.02893989878666,Car/SUV,Clear,National Highway,Serious,Tuesday,December,22,0
2024-06-08,19:26,Singanallur,11.07480230732349,76.88178645667799,Two-Wheeler,Rain,State Highway,Fatal,Saturday,June,19,1
2024-07-23,19:27,Peelamedu,10.95498289054348,76.89693540099525,Pedestrian,Rain,National Highway,Fatal,Tuesday,July,19,1
2024-12-09,10:23,Karanampettai,10.976983573916138,76.94224013526721,Truck,Clear,State Highway,Minor,Monday,December,10,0
2024-11-28,23:59,Karanampettai,11.009485111087807,76.99773432281135,Two-Wheeler,Clear,State Highway,Serious,Thursday,November,23,0
2024-07-10,12:53,Avinashi Road,11.011597817501245,76.9507560048562,Auto-Rickshaw,Fog,State Highway,Minor,Wednesday,July,12,0
2024-08-12,07:06,Singanallur,10.921163365644901,76.97654188973767,Auto-Rickshaw,Clear,State Highway,Minor,Monday,August,7,0
2024-09-21,19:51,Avinashi Road,10.950021098635219,77.04363085094438,Car/SUV,Cloudy,City Roads,Minor,Saturday,September,19,0
2024-08-19,06:37,Periyanaickenpalayam,10.947284447984071,76.97329839067902,Truck,Cloudy,State Highway,Serious,Monday,August,6,0
2024-03-02,23:21,Gandhipuram,11.057319621141652,76.95629500423189,Two-Wheeler,Clear,State Highway,Fatal,Saturday,March,23,1
2024-05-06,19:22,Gandhipuram,11.109573374147782,76.99276718582355,Pedestrian,Clear,City Roads,Serious,Monday,May,19,0
2024-04-25,19:55,Sathy Road,11.011097839730423,76.9108881955053,Two-Wheeler,Clear,State Highway,Minor,Thursday,April,19,0
2024-02-02,21:18,Periyanaickenpalayam,11.088759289088124,76.85728866175276,Two-Wheeler,Clear,National Highway,Fatal,Friday,February,21,1
2024-06-22,16:06,Thudiyalur,11.03384525387679,76.88433839761872,Two-Wheeler,Clear,State Highway,Serious,Saturday,June,16,0
2024-01-11,15:09,Karamadai,10.957067684004949,76.86859400858965,Bus,Rain,State Highway,Minor,Thursday,January,15,0
2024-10-28,15:54,Peelamedu,11.030686092349068,76.93564738291032,Two-Wheeler,Rain,City Roads,Minor,Monday,October,15,0
2024-10-10,08:23,Periyanaickenpalayam,11.083567706560691,77.0173131664974,Car/SUV,Rain,State Highway,Fatal,Thursday,October,8,1
2024-04-27,07:36,Thudiyalur,10.926984436043874,76.9609713009609,Two-Wheeler,Fog,State Highway,Fatal,Saturday,April,7,1
2024-10-28,10:54,Thudiyalur,10.918374856195843,77.0378605077881,Pedestrian,Rain,National Highway,Fatal,Monday,October,10,1
2024-04-22,17:39,Avinashi Road,11.042881976067468,77.03164787829363,Two-Wheeler,Clear,National Highway,Serious,Monday,April,17,0
2024-01-04,20:01,Avinashi Road,11.059418562924545,76.94784091200634,Two-Wheeler,Rain,State Highway,Fatal,Thursday,January,20,1
2024-02-06,17:53,Pollachi Road,11.112697387587556,76.97102655045849,Two-Wheeler,Clear,State Highway,Serious,Tuesday,February,17,0
2024-12-28,18:11,Karanampettai,11.086523252200639,77.00325814217791,Bus,Clear,State Highway,Fatal,Saturday,December,18,1
2024-11-19,10:58,Cross Cut Road,11.064215662674101,76.91338235699877,Truck,Rain,State Highway,Fatal,Tuesday,November,10,1
2024-01-31,09:11,Peelamedu,11.035967910115538,77.03199881468846,Truck,Cloudy,City Roads,Fatal,Wednesday,January,9,1
2024-04-27,20:42,Singanallur,11.02766090504978,76.9470613248032,Two-Wheeler,Clear,Village Roads,Minor,Saturday,April,20,0
2024-02-04,12:47,Trichy Road,10.974954906387653,76.99586330794489,Two-Wheeler,Clear,State Highway,Minor,Sunday,February,12,0
2024-01-17,15:05,Gandhipuram,11.01429930262518,76.9981295867329,Two-Wheeler,Clear,National Highway,Minor,Wednesday,January,15,0
2024-06-18,18:24,Brookefields,11.01402019212448,76.91528974548443,Two-Wheeler,Clear,State Highway,Minor,Tuesday,June,18,0
2024-02-06,13:10,Pollachi Road,11.035007855112276,76.97840550234233,Truck,Clear,State Highway,Minor,Tuesday,February,13,0
2024-09-20,11:20,Thudiyalur,11.039099058638932,77.01779695296563,Car/SUV,Clear,State Highway,Minor,Friday,September,11,0
2024-05-01,20:38,Periyanaickenpalayam,11.052533583428074,76.89082525749065,Two-Wheeler,Clear,State Highway,Fatal,Wednesday,May,20,1
2024-05-22,06:09,Pollachi Road,11.080137847393207,76.90562696351346,Two-Wheeler,Clear,State Highway,Minor,Wednesday,May,6,0
2024-12-08,08:03,Trichy Road,11.01438029912696,77.03579292406103,Car/SUV,Clear,State Highway,Fatal,Sunday,December,8,1
2024-09-05,19:28,Brookefields,11.059658065755226,77.0024487905861,Two-Wheeler,Clear,National Highway,Minor,Thursday,September,19,0
2024-04-19,16:38,Periyanaickenpalayam,11.022461761789053,76.94736563041309,Car/SUV,Clear,State Highway,Minor,Friday,April,16,0
2024-10-03,13:13,Thudiyalur,11.001200909507876,77.03796661909085,Pedestrian,Clear,State Highway,Serious,Thursday,October,13,0
2024-03-08,18:22,Singanallur,10.97997003004738,76.89248886378186,Two-Wheeler,Clear,State Highway,Minor,Friday,March,18,0
2024-10-19,13:43,Sathy Road,10.929502113789095,76.96952305318047,Two-Wheeler,Rain,State Highway,Minor,Saturday,October,13,0
2024-10-22,19:33,Race Course Road,11.095375439227075,76.93451026351846,Two-Wheeler,Clear,State Highway,Minor,Tuesday,October,19,0
2024-08-30,18:14,Cross Cut Road,11.000227491618903,77.04493747227738,Two-Wheeler,Clear,National Highway,Fatal,Friday,August,18,1
2024-05-04,14:03,Thudiyalur,11.011467594309062,76.90373905151716,Two-Wheeler,Clear,City Roads,Serious,Saturday,May,14,0
2024-08-30,02:13,Cross Cut Road,11.015757760069812,77.02990791837861,Truck,Clear,State Highway,Minor,Friday,August,2,0
2024-07-27,19:18,Karanampettai,11.104592895207077,76.91055525540494,Bus,Fog,State Highway,Minor,Saturday,July,19,0
2024-04-07,09:31,Cross Cut Road,10.986152822673805,76.9814166406538,Truck,Clear,State Highway,Minor,Sunday,April,9,0
2024-02-18,18:08,Karanampettai,11.05630288807784,76.91417791810431,Two-Wheeler,Clear,State Highway,Fatal,Sunday,February,18,1
2024-02-19,14:14,Race Course Road,10.920961384942133,77.03905926671436,Bus,Clear,State Highway,Serious,Monday,February,14,0
2024-12-03,17:51,Thudiyalur,10.974402156290724,76.99540879851361,Two-Wheeler,Clear,Village Roads,Minor,Tuesday,December,17,0
2024-08-08,10:55,Thudiyalur,10.955240259500206,77.00028187783693,Two-Wheeler,Clear,State Highway,Minor,Thursday,August,10,0
2024-06-30,19:01,Karanampettai,10.985569477960633,76.89925097379198,Two-Wheeler,Rain,State Highway,Serious,Sunday,June,19,0
2024-08-04,12:55,Peelamedu,10.963220622628384,76.95449751544487,Two-Wheeler,Clear,State Highway,Fatal,Sunday,August,12,1
2024-07-29,10:36,Pollachi Road,10.960740469008176,77.05427794437685,Car/SUV,Clear,Village Roads,Fatal,Monday,July,10,1
2024-08-27,14:26,Karanampettai,11.098614030833504,76.96636477892582,Truck,Clear,State Highway,Minor,Tuesday,August,14,0
2024-01-28,10:01,Avinashi Road,10.984630599727833,77.0548632763039,Two-Wheeler,Clear,State Highway,Serious,Sunday,January,10,0
2024-12-10,21:51,Periyanaickenpalayam,11.037220026560805,76.87110672722369,Pedestrian,Clear,National Highway,Serious,Tuesday,December,21,0
2024-11-30,22:53,Trichy Road,11.08529342691183,76.87684491219579,Two-Wheeler,Clear,State Highway,Fatal,Saturday,November,22,1
2024-11-26,19:05,Thudiyalur,11.048191627294521,77.00910781605766,Two-Wheeler,Clear,National Highway,Minor,Tuesday,November,19,0
2024-02-20,12:15,Race Course Road,10.943031713418922,76.92100262719704,Car/SUV,Clear,State Highway,Fatal,Tuesday,February,12,1
2024-02-01,13:33,Periyanaickenpalayam,10.975478808395557,76.94598719667917,Truck,Clear,State Highway,Serious,Thursday,February,13,0
2024-07-25,02:47,Race Course Road,11.059077037188963,76.9063533236375,Two-Wheeler,Clear,State Highway,Serious,Thursday,July,2,0
2024-06-22,10:49,Cross Cut Road,11.108760673655363,76.95701291435455,Car/SUV,Clear,National Highway,Minor,Saturday,June,10,0
2024-02-25,08:40,Karamadai,11.083416149159069,76.94823349734949,Bus,Clear,City Roads,Serious,Sunday,February,8,0
2024-05-07,08:12,Singanallur,11.051421458727866,76.87043909840415,Two-Wheeler,Clear,State Highway,Fatal,Tuesday,May,8,1
2024-04-08,22:22,Trichy Road,11.063716926443957,76.99469714282098,Two-Wheeler,Rain,Village Roads,Serious,Monday,April,22,0
2024-04-07,20:52,Karamadai,11.0759945327406,77.00574722822591,Bus,Clear,State Highway,Fatal,Sunday,April,20,1
2024-10-01,06:09,Avinashi Road,11.076751011793228,76.9320311135883,Pedestrian,Cloudy,State Highway,Minor,Tuesday,October,6,0
2024-08-17,09:38,Avinashi Road,11.085706256797948,77.00499148743054,Two-Wheeler,Rain,National Highway,Fatal,Saturday,August,9,1
2024-03-12,08:04,Race Course Road,11.041168475686325,77.02695462898373,Bus,Cloudy,Village Roads,Minor,Tuesday,March,8,0
2024-08-04,08:31,Avinashi Road,10.973291443053927,76.93513486556675,Two-Wheeler,Clear,State Highway,Minor,Sunday,August,8,0
2024-04-03,14:48,Pollachi Road,11.066650860366511,76.85794747227818,Car/SUV,Clear,State Highway,Minor,Wednesday,April,14,0
2024-05-22,17:59,Peelamedu,11.050211290471092,76.87873654338881,Car/SUV,Clear,Village Roads,Fatal,Wednesday,May,17,1
2024-08-24,23:40,Karamadai,10.942619310804146,77.03922739512991,Car/SUV,Fog,State Highway,Fatal,Saturday,August,23,1
2024-05-07,22:55,Karamadai,10.956696844560376,76.92122207251533,Two-Wheeler,Clear,State Highway,Serious,Tuesday,May,22,0
2024-02-08,22:09,Singanallur,11.037949801451244,77.00553520556724,Bus,Clear,State Highway,Fatal,Thursday,February,22,1
2024-08-14,13:28,Brookefields,10.936980745115106,76.95275184746586,Two-Wheeler,Cloudy,City Roads,Serious,Wednesday,August,13,0
2024-10-08,16:37,Race Course Road,10.999996872387907,76.86944743423841,Two-Wheeler,Clear,State Highway,Minor,Tuesday,October,16,0
2024-02-20,04:04,Avinashi Road,11.115553447076268,76.96548570807133,Auto-Rickshaw,Clear,National Highway,Fatal,Tuesday,February,4,1
2024-01-26,10:02,Singanallur,10.977530378679512,76.90425872180697,Two-Wheeler,Fog,National Highway,Minor,Friday,January,10,0
2024-11-29,02:04,Gandhipuram,10.958686588270709,77.04580368481535,Two-Wheeler,Fog,State Highway,Minor,Friday,November,2,0
2024-10-03,15:39,Cross Cut Road,10.926209867225976,76.88385115203677,Auto-Rickshaw,Clear,State Highway,Minor,Thursday,October,15,0
2024-01-08,16:29,Karamadai,10.920426119135003,77.01988533793559,Bus,Clear,State Highway,Fatal,Monday,January,16,1
2024-02-17,17:57,Periyanaickenpalayam,11.092981221396935,77.02411250661815,Two-Wheeler,Clear,City Roads,Minor,Saturday,February,17,0
2024-05-01,04:41,Sathy Road,10.988208774967385,76.88991781912817,Two-Wheeler,Fog,State Highway,Minor,Wednesday,May,4,0
2024-03-26,08:30,Periyanaickenpalayam,10.948521093020908,76.85941322553006,Car/SUV,Rain,State Highway,Serious,Tuesday,March,8,0
2024-07-27,15:28,Karamadai,11.082389737682732,76.87590302421039,Two-Wheeler,Clear,State Highway,Serious,Saturday,July,15,0
2024-09-05,07:45,Karamadai,11.095691494130312,76.91462893074177,Car/SUV,Rain,State Highway,Minor,Thursday,September,7,0
2024-09-03,08:11,Periyanaickenpalayam,10.923194001553679,76.96273076661444,Bus,Clear,State Highway,Serious,Tuesday,September,8,0
2024-04-19,05:28,Karamadai,10.929533117249212,76.93396990042991,Two-Wheeler,Clear,State Highway,Serious,Friday,April,5,0
2024-07-24,23:33,Avinashi Road,11.002924092510296,76.87131705996899,Two-Wheeler,Rain,State Highway,Minor,Wednesday,July,23,0
2024-01-31,16:23,Cross Cut Road,11.040312584308818,77.0085178093958,Truck,Clear,National Highway,Minor,Wednesday,January,16,0
2024-03-25,22:26,Mettupalayam Road,10.940937606564136,76.99127662835308,Two-Wheeler,Clear,State Highway,Minor,Monday,March,22,0
2024-07-13,20:38,Mettupalayam Road,10.96161912774796,76.88649929546216,Two-Wheeler,Fog,State Highway,Serious,Saturday,July,20,0
2024-01-02,05:41,Mettupalayam Road,10.968364428200815,76.92741739793112,Two-Wheeler,Clear,City Roads,Fatal,Tuesday,January,5,1
2024-07-18,10:06,Cross Cut Road,10.984864842797645,76.89913448665502,Two-Wheeler,Cloudy,National Highway,Minor,Thursday,July,10,0
2024-05-15,16:18,Trichy Road,10.987848195316454,76.86268896908265,Auto-Rickshaw,Clear,National Highway,Minor,Wednesday,May,16,0
2024-08-20,11:58,Race Course Road,10.926135271671555,76.99080882615492,Two-Wheeler,Clear,National Highway,Serious,Tuesday,August,11,0
2024-05-26,15:21,Sathy Road,11.092342729432914,76.89903329991408,Car/SUV,Clear,State Highway,Serious,Sunday,May,15,0
2024-08-04,05:09,Gandhipuram,10.970298247111318,76.99514847272597,Two-Wheeler,Clear,National Highway,Minor,Sunday,August,5,0
2024-12-22,22:41,Brookefields,10.947035674758864,77.02310022823033,Two-Wheeler,Rain,National Highway,Serious,Sunday,December,22,0
2024-10-11,19:08,Sathy Road,11.054827116468095,77.01810236518811,Two-Wheeler,Rain,State Highway,Minor,Friday,October,19,0
2024-12-04,15:19,Peelamedu,11.019877488547994,76.98400243785163,Car/SUV,Clear,City Roads,Serious,Wednesday,December,15,0
2024-09-06,17:50,Trichy Road,11.050697178030225,76.99908208664066,Two-Wheeler,Clear,State Highway,Minor,Friday,September,17,0
2024-03-20,09:42,Sathy Road,11.058080983463558,77.0352019760233,Two-Wheeler,Clear,State Highway,Minor,Wednesday,March,9,0
2024-04-07,20:43,Karamadai,11.10212641969065,76.93392367780558,Two-Wheeler,Rain,National Highway,Fatal,Sunday,April,20,1
2024-05-31,21:41,Pollachi Road,11.004365341292303,76.91746485018132,Two-Wheeler,Cloudy,State Highway,Serious,Friday,May,21,0
2024-04-21,20:23,Avinashi Road,11.00822712796129,76.86628305123777,Auto-Rickshaw,Rain,State Highway,Minor,Sunday,April,20,0
2024-01-30,02:11,Karanampettai,11.085119394820577,76.85673314654926,Car/SUV,Clear,State Highway,Fatal,Tuesday,January,2,1
2024-10-23,22:49,Karamadai,10.938986168990523,77.0102819390437,Car/SUV,Fog,National Highway,Serious,Wednesday,October,22,0
2024-10-04,12:08,Avinashi Road,10.937978371878941,77.00922284769078,Bus,Rain,State Highway,Minor,Friday,October,12,0
2024-02-01,07:54,Thudiyalur,11.038914508762442,77.04156411046043,Truck,Clear,National Highway,Minor,Thursday,February,7,0
2024-06-09,20:49,Cross Cut Road,11.073231251553278,76.93072894069665,Pedestrian,Clear,State Highway,Fatal,Sunday,June,20,1
2024-01-30,17:56,Peelamedu,11.106276698788804,76.9035080646157,Truck,Clear,City Roads,Fatal,Tuesday,January,17,1
2024-01-26,17:21,Periyanaickenpalayam,11.0815220456041,76.874077286017,Two-Wheeler,Clear,City Roads,Serious,Friday,January,17,0
2024-10-26,23:08,Race Course Road,10.925193887441315,76.94013654610507,Car/SUV,Clear,State Highway,Fatal,Saturday,October,23,1
2024-09-01,15:10,Karanampettai,10.937882216750154,77.05365812499308,Car/SUV,Rain,National Highway,Minor,Sunday,September,15,0
2024-09-14,08:49,Gandhipuram,11.042785223230808,76.92322332848984,Auto-Rickshaw,Clear,State Highway,Minor,Saturday,September,8,0
2024-09-28,15:46,Periyanaickenpalayam,11.090973894830624,76.89423036395306,Car/SUV,Clear,State Highway,Minor,Saturday,September,15,0
2024-03-21,13:23,Trichy Road,11.09899715410715,76.98958989109869,Two-Wheeler,Clear,National Highway,Serious,Thursday,March,13,0
2024-01-30,18:28,Avinashi Road,10.94820650947146,76.89991357039025,Two-Wheeler,Clear,State Highway,Fatal,Tuesday,January,18,1
2024-09-17,17:50,Brookefields,10.975224597543722,77.03225721151918,Two-Wheeler,Clear,State Highway,Minor,Tuesday,September,17,0
2024-02-11,14:15,Thudiyalur,11.00510358201558,77.01518483303097,Two-Wheeler,Clear,State Highway,Minor,Sunday,February,14,0
2024-04-05,10:57,Race Course Road,11.017979323343026,77.02189013328568,Auto-Rickshaw,Clear,State Highway,Fatal,Friday,April,10,1
2024-02-05,19:43,Avinashi Road,11.063310378823418,76.88937657749058,Truck,Clear,State Highway,Fatal,Monday,February,19,1
2024-10-31,22:29,Karamadai,10.936658847788417,76.88920945101381,Two-Wheeler,Clear,State Highway,Minor,Thursday,October,22,0
2024-02-04,19:32,Periyanaickenpalayam,11.046218594187106,76.93893600199297,Pedestrian,Clear,State Highway,Serious,Sunday,February,19,0
2024-12-11,15:52,Race Course Road,10.98372150506252,76.8773367657179,Car/SUV,Clear,State Highway,Serious,Wednesday,December,15,0
2024-04-30,08:08,Periyanaickenpalayam,10.944354492835675,76.92122829323213,Truck,Clear,National Highway,Fatal,Tuesday,April,8,1
2024-07-25,18:41,Karamadai,11.086519018342928,76.9682108234447,Pedestrian,Rain,State Highway,Serious,Thursday,July,18,0
2024-03-02,13:35,Race Course Road,11.004621692183072,76.89370950719218,Pedestrian,Clear,State Highway,Serious,Saturday,March,13,0
2024-10-18,23:54,Sathy Road,10.999949967743783,76.89722386307467,Two-Wheeler,Rain,State Highway,Serious,Friday,October,23,0
2024-05-06,15:18,Singanallur,11.070606632767003,76.96414053068617,Truck,Clear,State Highway,Minor,Monday,May,15,0
2024-10-23,06:17,Thudiyalur,10.965863212923427,77.04358464559894,Two-Wheeler,Fog,State Highway,Serious,Wednesday,October,6,0
2024-10-31,14:09,Sathy Road,11.078629043140506,76.87996079227985,Bus,Clear,State Highway,Minor,Thursday,October,14,0
2024-01-21,18:58,Brookefields,10.985064013956126,76.89855599733872,Auto-Rickshaw,Rain,State Highway,Fatal,Sunday,January,18,1
2024-11-13,10:56,Cross Cut Road,11.017804545645806,76.9271152651837,Two-Wheeler,Clear,State Highway,Fatal,Wednesday,November,10,1
2024-02-11,09:26,Mettupalayam Road,10.933846772339963,76.89052431155292,Pedestrian,Clear,State Highway,Minor,Sunday,February,9,0
2024-08-02,04:23,Karamadai,10.99128727148056,76.936227897951,Two-Wheeler,Rain,State Highway,Fatal,Friday,August,4,1
2024-12-02,09:23,Thudiyalur,11.067769042502356,76.91904804427024,Bus,Clear,State Highway,Fatal,Monday,December,9,1
2024-10-25,10:59,Karanampettai,10.988928681286335,76.93363733191008,Truck,Clear,State Highway,Minor,Friday,October,10,0
2024-10-16,08:41,Singanallur,11.049799050982969,76.94755518634929,Two-Wheeler,Clear,State Highway,Minor,Wednesday,October,8,0
2024-09-24,09:08,Singanallur,10.947122242905508,76.86900325681263,Bus,Clear,State Highway,Serious,Tuesday,September,9,0
2024-06-10,03:44,Cross Cut Road,11.067501434209422,77.01881697832115,Bus,Clear,National Highway,Minor,Monday,June,3,0
2024-05-13,20:30,Karamadai,11.001144441871666,76.98578899910436,Two-Wheeler,Clear,State Highway,Minor,Monday,May,20,0
2024-04-14,12:57,Pollachi Road,10.962436400786034,76.92959599220147,Car/SUV,Clear,State Highway,Fatal,Sunday,April,12,1
2024-12-08,02:13,Race Course Road,11.077153735728297,76.869266253706,Bus,Rain,State Highway,Serious,Sunday,December,2,0
2024-06-09,20:46,Trichy Road,10.999481883749395,76.89951217103466,Truck,Clear,State Highway,Minor,Sunday,June,20,0
2024-05-02,16:07,Karamadai,10.998661863878466,76.91610684972933,Auto-Rickshaw,Cloudy,National Highway,Fatal,Thursday,May,16,1
2024-05-15,18:19,Periyanaickenpalayam,11.008550612783194,76.97557381929691,Two-Wheeler,Clear,State Highway,Fatal,Wednesday,May,18,1
2024-07-21,06:26,Mettupalayam Road,11.087278095883363,77.05242049858343,Truck,Clear,State Highway,Minor,Sunday,July,6,0
2024-03-08,17:29,Thudiyalur,11.075721469274459,76.87616271797498,Auto-Rickshaw,Fog,National Highway,Serious,Friday,March,17,0
2024-12-09,03:38,Cross Cut Road,10.989154873931021,76.96303630605826,Car/SUV,Rain,State Highway,Minor,Monday,December,3,0
2024-11-26,17:32,Peelamedu,10.922752585402993,77.05390625750158,Car/SUV,Rain,State Highway,Fatal,Tuesday,November,17,1
2024-06-02,17:09,Singanallur,10.945916861179697,77.02589300674379,Two-Wheeler,Clear,National Highway,Minor,Sunday,June,17,0
2024-08-22,09:39,Sathy Road,10.918789742692747,76.89009182209364,Pedestrian,Fog,State Highway,Fatal,Thursday,August,9,1
2024-06-10,11:26,Peelamedu,11.078049373134,77.04760694087557,Auto-Rickshaw,Clear,City Roads,Fatal,Monday,June,11,1
2024-02-07,08:05,Peelamedu,11.105528568061562,76.97577342903071,Car/SUV,Clear,State Highway,Fatal,Wednesday,February,8,1
2024-01-05,16:04,Karanampettai,10.933755642906284,77.05208317897151,Two-Wheeler,Clear,National Highway,Serious,Friday,January,16,0
2024-08-22,23:32,Mettupalayam Road,10.979760914375857,76.9950630731889,Car/SUV,Clear,State Highway,Minor,Thursday,August,23,0
2024-11-14,20:35,Trichy Road,11.113188984877427,76.99138010447703,Two-Wheeler,Clear,State Highway,Serious,Thursday,November,20,0
2024-10-15,03:02,Trichy Road,10.949664936342943,77.05027337056906,Two-Wheeler,Clear,State Highway,Fatal,Tuesday,October,3,1
2024-02-21,16:16,Avinashi Road,10.929093665697078,76.9945441488101,Two-Wheeler,Fog,State Highway,Serious,Wednesday,February,16,0
2024-02-07,19:50,Trichy Road,11.068638477011165,76.92220930946965,Car/SUV,Clear,State Highway,Minor,Wednesday,February,19,0
2024-10-02,01:46,Race Course Road,11.048835234455048,76.9828706903364,Two-Wheeler,Rain,State Highway,Fatal,Wednesday,October,1,1
2024-04-19,15:49,Periyanaickenpalayam,11.045093150888311,77.03259340643827,Auto-Rickshaw,Fog,Village Roads,Serious,Friday,April,15,0
2024-09-16,16:08,Singanallur,11.09730222631478,76.91939339502159,Two-Wheeler,Clear,State Highway,Minor,Monday,September,16,0
2024-05-15,04:21,Mettupalayam Road,10.928361965909202,77.02611084249372,Two-Wheeler,Clear,Village Roads,Fatal,Wednesday,May,4,1
2024-03-08,18:53,Race Course Road,11.043121512430977,76.95222607579754,Truck,Clear,State Highway,Minor,Friday,March,18,0
2024-06-27,19:44,Brookefields,11.059473903404282,76.92282104362495,Auto-Rickshaw,Clear,State Highway,Serious,Thursday,June,19,0
2024-02-05,12:51,Sathy Road,11.048872326355895,76.97750666443125,Bus,Clear,State Highway,Minor,Monday,February,12,0
2024-05-05,08:49,Brookefields,11.020755672640593,76.97280738288299,Two-Wheeler,Clear,National Highway,Minor,Sunday,May,8,0
2024-07-08,21:18,Peelamedu,10.97594488497273,76.93227427992676,Two-Wheeler,Rain,State Highway,Minor,Monday,July,21,0
2024-05-25,06:56,Race Course Road,10.997200563606295,76.98391839095028,Car/SUV,Clear,State Highway,Serious,Saturday,May,6,0
2024-03-21,02:32,Sathy Road,11.052974131484017,76.90228509547623,Auto-Rickshaw,Clear,National Highway,Minor,Thursday,March,2,0
2024-08-12,14:30,Race Course Road,11.027522085645119,76.9732937094817,Truck,Rain,City Roads,Serious,Monday,August,14,0
2024-10-05,11:12,Karamadai,10.977664604594635,77.05347617287232,Bus,Rain,State Highway,Fatal,Saturday,October,11,1
2024-12-26,09:55,Trichy Road,11.06533950040593,76.90232118089976,Auto-Rickshaw,Rain,State Highway,Minor,Thursday,December,9,0
2024-06-03,16:07,Sathy Road,11.098646170640226,76.97906973491749,Pedestrian,Fog,City Roads,Minor,Monday,June,16,0
2024-11-09,19:56,Race Course Road,10.918380446700757,77.0351558852733,Two-Wheeler,Cloudy,City Roads,Minor,Saturday,November,19,0
2024-11-30,13:57,Singanallur,10.972756148952556,76.91756972573458,Auto-Rickshaw,Clear,City Roads,Serious,Saturday,November,13,0
2024-09-27,22:11,Karanampettai,11.022358347121479,77.0033826567836,Two-Wheeler,Clear,National Highway,Serious,Friday,September,22,0
2024-01-05,13:23,Thudiyalur,11.100890118329021,77.00724914871982,Two-Wheeler,Clear,State Highway,Fatal,Friday,January,13,1
2024-12-07,23:17,Periyanaickenpalayam,11.05685901277652,76.97975324569849,Two-Wheeler,Clear,National Highway,Fatal,Saturday,December,23,1
2024-10-10,20:27,Mettupalayam Road,11.006037810140668,76.86778460331195,Two-Wheeler,Clear,State Highway,Serious,Thursday,October,20,0
2024-06-02,04:52,Karamadai,10.95782671427664,76.93070472569872,Two-Wheeler,Rain,State Highway,Minor,Sunday,June,4,0
2024-12-05,07:20,Singanallur,11.025685058200896,76.91512294607462,Auto-Rickshaw,Clear,State Highway,Serious,Thursday,December,7,0
2024-02-23,07:42,Sathy Road,11.074468315795343,76.8861341170784,Truck,Clear,State Highway,Serious,Friday,February,7,0
2024-03-09,10:38,Cross Cut Road,11.047207417479372,76.89667706601924,Pedestrian,Clear,State Highway,Minor,Saturday,March,10,0
2024-05-15,18:44,Peelamedu,11.056294193114713,76.86338134311148,Car/SUV,Clear,State Highway,Fatal,Wednesday,May,18,1
2024-02-29,13:02,Trichy Road,11.09433497930144,77.0404818279107,Two-Wheeler,Clear,State Highway,Fatal,Thursday,February,13,1
2024-02-24,19:39,Karanampettai,11.073112618626292,76.97541503772221,Pedestrian,Clear,State Highway,Minor,Saturday,February,19,0
2024-10-10,22:40,Singanallur,10.997701141130031,77.0449752994712,Truck,Fog,State Highway,Serious,Thursday,October,22,0
2024-03-20,21:04,Trichy Road,10.956259150852226,77.0036511272033,Auto-Rickshaw,Clear,National Highway,Minor,Wednesday,March,21,0
2024-05-19,19:23,Periyanaickenpalayam,10.97710628246707,76.92153797037344,Truck,Clear,State Highway,Fatal,Sunday,May,19,1
2024-05-24,17:43,Cross Cut Road,10.924194034471263,76.91142528866162,Two-Wheeler,Clear,National Highway,Serious,Friday,May,17,0
2024-11-05,06:09,Karanampettai,10.98369858494698,76.98452041432108,Car/SUV,Clear,State Highway,Fatal,Tuesday,November,6,1
2024-04-17,20:50,Karamadai,11.061819736467124,77.0078987764591,Two-Wheeler,Clear,State Highway,Fatal,Wednesday,April,20,1
2024-06-24,12:04,Mettupalayam Road,11.064810444462115,76.9599745719191,Two-Wheeler,Clear,National Highway,Fatal,Monday,June,12,1
2024-04-14,11:23,Periyanaickenpalayam,10.942001129198774,77.05131350089147,Truck,Clear,State Highway,Minor,Sunday,April,11,0
2024-12-17,11:02,Periyanaickenpalayam,11.11518479390858,76.98540928501592,Two-Wheeler,Clear,State Highway,Minor,Tuesday,December,11,0
2024-11-20,17:28,Trichy Road,10.973585571893654,76.91349102089188,Truck,Clear,State Highway,Serious,Wednesday,November,17,0
2024-05-15,22:28,Race Course Road,10.935363913571345,76.86053866645844,Auto-Rickshaw,Clear,National Highway,Minor,Wednesday,May,22,0
2024-09-15,20:08,Karanampettai,11.02715717027225,77.02518696910869,Auto-Rickshaw,Clear,State Highway,Minor,Sunday,September,20,0
2024-09-07,16:20,Thudiyalur,11.021067173023088,76.92205405452061,Two-Wheeler,Clear,State Highway,Minor,Saturday,September,16,0
2024-05-08,15:07,Cross Cut Road,11.068209264856108,76.9042497967449,Pedestrian,Rain,National Highway,Fatal,Wednesday,May,15,1
2024-01-27,01:31,Singanallur,10.948805468045803,76.96366235042522,Pedestrian,Clear,State Highway,Minor,Saturday,January,1,0
2024-02-17,17:07,Karanampettai,10.922378245059132,77.03712641154182,Two-Wheeler,Rain,State Highway,Serious,Saturday,February,17,0
